Id;Laguna;Codigo;Fecha;Elevacion;Latitud;Longitud;Temperatura;Secchi;O2;pH;Conductividad;Turbidez;Nk;Nk_filt;Seston;MO;%MO/ses;Ccpt;Ccpt_filt;Ppart;%Ppart;Chl-a;Doc;Pcy_uni_c;Pcy_div_c;Pcy_fil_c;Pcy agr_c;Pcy_uni_o;Pcy_div_o;Pcy_fil_o;Pcy agr_o;Peu;Bact_Fil2;Bact_Fil1;Bacterias
1;Sevigne;SE (1);15/09/15;7;-36.2041944;-57.74436111111111;15;50;11;8,64;9,12;13,2;5331,2;3483,2;36,6;19,2;0,524590164;0,630644;0,530559;0,100085;0,15870285;92,71210667;121,4;279252,68;11170,1072;0;16755,1608;279252,68;5585,0536;0;5585,0536;27925,268;150796,4472;2686410,782;6841690,66
2;Kakel Huincul;KH (2);15/09/15;5;-36.7917;-57.790594444444444;15;;11;8,09;1,4;3,81;4110,4;3404,8;6,7;6,7;1;0,0461476;0,030134;0,0160136;0,347008295;2,528512;17,56;42607,89835;2938,475748;0;13957,7598;42607,89835;1469,237874;0;2203,856811;5876,951496;25132,7412;103323,4916;7895537,083
3;Samboy;SY (3);15/09/15;9;-37.1021806;-57.462563888888894;15;;10,4;907;3,03;2,71;3830,4;3012,8;10,9;7,5;0,688073394;0,1222122;0,1142054;0,0080068;0,065515554;5,057024;19,45;4049163,86;781907,504;0;0;4049163,86;390953,752;0;0;8815,427244;25132,7412;142418,8668;3395458,723
4;Salada Grande (Madariaga);SG (4);15/09/15;1;-36.9505278;-56.98003333333334;18;16;10,6;8,37;5,41;104;7761,6;5544;128,3;47,5;0,370226033;0,3123737;0,2543244;0,0580493;0,185832866;42,984704;26,6;1663911,892;653810,8539;0;385674,9419;1663911,892;326905,427;0;40404,04154;;;;
5;Los Horcones;HR (5);15/09/15;5;-37.0631944;-57.00302777777778;16;17;12;8,38;5,82;87,6;5768;5152;74,2;60,8;0,819407008;0,630644;0,1142054;0,5164386;0,818906705;222,509056;24,41;394406,0686;283008,9348;0;75268,33371;394406,0686;141504,4674;0;10537,56672;;;;
6;Mar Chiquita(MDP);MA2 (6);15/09/15;0;-37.6496861;-57.40613888888889;17,6;10;10,6;8,56;2,64;136;4860,8;3472;81,7;23,4;0,286413709;0,250321;0,1842649;0,0660561;0,263885571;53,098752;12,04;1542699,768;984389,3756;11019,28406;422405,8888;1542699,768;492194,6878;3673,094685;62442,60965;;;;
7;De los Padres;LP (7);16/09/15;55;-37.9367944;-57.74178888888889;11,6;19;11,8;8,76;0,67;63,8;4009,6;2800;35;27,5;0,785714286;0,550576;0,2383108;0,3122652;0,567160937;60,684288;8,871;209643,6117;194050,2853;0;0;209643,6117;97025,14263;0;0;;;;
8;La Brava;BV (8);16/09/15;75;-37.8664944;-57.98233888888889;11,2;26;10,6;8,8;0,725;52,2;4491,2;2844,8;26,7;26,7;1;0,2923567;0,2182938;0,0740629;0,253330606;80,912384;11,51;68395,55621;7599,506245;0;474335,8481;68395,55621;3799,753123;0;36730,94685;;;;
9;Chascomus;CH (9);17/09/15;4;-35.5824083;-58.04184166666666;15;10;12;8,14;0,79;110;5051,2;4312;141;39;0,276595745;0,5545794;0,1722547;0,3823247;0,689395784;51;1,256;1021120,322;462809,9303;88154,27244;2214876,095;1021120,322;231404,9652;14692,37874;150596,8821;55096,42028;977384,38;1103048,086;31974431,86
10;La límpia;LI(10);14/09/15;10;-37.6020306;-57.811575;15;14;13,9;8,78;1,14;141;4760;3830,4;112;20;0,178571429;0,8368191;0,8168021;0,020017;0,023920343;10,114048;1,675;;;;;;;;;;;;
11;El triunfo;TR(11);14/09/15;13;-35.8516;-57.872825;15;44;10,5;8;1,08;7,71;4300,8;3438,4;26;11;0,423076923;0,3464026;0,310372;0,0360306;0,104013653;10,114048;2,761;;;;;;;;;;;;
12;La Salada de monasterio;SM (12);14/09/15;15;-35.7834694;-57.87309166666667;15;14;11,5;8,66;1,34;108;4345,6;3236,8;11;11;1;0,3283873;0,1722547;0,1561326;0,475452613;33;2,418;;;;;;;;;;;;
13;Embalse Paso de las Piedras;PI (13);28/09/15;62;-38.418897405009055;-61.759199649095535;17;44;11,8;8,55;0,324;15,7;3438,4;2564,8;11,7;9,2;0,786324786;0,1242139;0,0001085;0,1241054;0,999126507;3,792768;4,55;59504,1339;13223,14087;6611,570433;0;59504,1339;6611,570433;734,618937;0;8080,808307;809832,772;1200786,524;11079046,54
14;Flamencos Sur -ex-chilenos-;FS (14);28/09/15;234;-37.897495605441414;-62.54833806306124;17;18;10;8,9;6,39;89,4;2856;2296;89,2;28,4;0,31838565;1,0670146;1,0650129;0,0020017;0,001875982;20,228096;105,5;1912880,858;400262,1747;33057,85217;51423,32559;1912880,858;200131,0873;8570,554265;13468,01385;23262,93301;325794,7933;1303179,173;9634217,46
15;Flamencos Norte -ex encadenada-;FN (15);28/09/15;235;-37.891789137254044;-62.54685748368502;17;46;9;9,05;12,34;29,2;4547,2;3404,8;54,2;15,9;0,293357934;1,2831982;1,2811965;0,0020017;0,00155993;1,58032;333,2;69788,79902;27915,51961;0;60238,75284;69788,79902;13957,7598;0;5142,332559;8815,427244;16755,1608;181514,242;4150005,106
16;Chasicó;CS (16);28/09/15;-16;-38.64498097773083;-63.09516537934542;14;;12;8,61;5,91;17,6;6641,6;3102,4;170;28,4;0,167058824;0,4645029;0,410457;0,0540459;0,116352126;16,85674667;47,96;655280,0918;204224,0645;0;0;655280,0918;102112,0322;0;0;47750,23091;;;27707101,84
17;Laguna Sauce Grande;SU (17);29/09/15;20;-38.927966703947355;-61.36575177311897;6,5;8;8;8,53;3,43;363;4009,6;2889,6;377,5;103,4;0,273907285;0,2723397;0,1142054;0,1581343;0,58065093;68,63104;10,98;2533755,13;918273,6713;76522,80594;1088324,351;2533755,13;459136,8356;17005,06799;170050,6799;85025,33993;244346,095;593411,945;54105206,75
18;La Tigra;TI (18);29/09/15;119;-38.34683958595356;-60.452856570482254;14;12;9;8,84;4,05;110;4200;3908,8;71;23,4;0,329577465;1,0089653;0,8328157;0,1761496;0,174584398;54,363008;253,5;1351698,844;301193,7642;0;0;1351698,844;150596,8821;0;0;279252,68;199466,2;1097064,1;33091442,58
19;La Lujan;LU (19);29/09/15;89;-38.4272917;-60,319308;14;24;10,8;8,54;1,098;54,4;4737,6;4424;30,9;23,4;0,757281553;0,1622462;0,0041119;0,1581343;0,974656417;66,7527168;10,12;716988,0825;317355,3808;4407,713622;537741,0619;716988,0825;158677,6904;1469,237874;20569,33024;48484,84984;558505,36;3741985,912;23568926,19
